s7361,34540
s1907,11768
s1674,34540
s1633,34540
s1907,103
s1907,12036
s7361,103
s4843,3758
s839,25320
s811,3758
s839,13551
s4784,32592
s4843,13551
s7361,34540
s3175,32592
s4784,3758
s4784,12036
s7361,11768
s811,22237
s4784,11768
s839,25320
s839,13551
s839,22237
s811,103
s839,32592
s3175,11768
s839,34540
s5162,11768
s811,9558
s7361,9558
s4784,13551
s4843,34540
s4843,12036
s1633,103
s4843,32592
s4784,9558
s4784,22237
s1674,34540
s4843,103
s1633,34540
s4784,103
s1674,32592
s5162,32592
s5162,34540
s7361,3758
s1633,12036
s5162,9558
s5162,3758
s811,32592
s1907,9558
s839,9558
s7361,25320
s5162,12036
s4784,25320
s3175,34540
s7361,12036
s1633,103
s1633,34540
s1907,103
s1674,25320
s1907,32592
s839,12036
s1674,22237
s811,12036
s1907,3758
s1907,11768
s839,22237
s4843,103
s1633,3758
s4843,32592
s839,13551
s1674,12036
s4784,12036
s4784,32592
s1674,32592
s3175,34540
s4784,11768
s5162,3758
s1633,32592
s5162,12036
s3175,12036
s811,32592
s839,13551
s1674,9558
s839,12036
s4843,3758
s5162,25320
s5162,9558
s3175,103
s1907,103
s839,34540
s1633,34540
s7361,25320
s4784,32592
s4784,34540
s1633,34540
s4843,22237
s839,32592
s4784,22237
s839,13551
