s4097,34789
s1500,42501
s5998,15669
s6769,41130
s267,19182
s8361,26472
s2363,3531
s2755,32957
s3145,2836
s2286,28810
s1260,37377
s1194,7815
s9493,38238
s6908,28635
s6782,25170
s2618,7337
s3034,30948
s423,23378
s5980,17735
s8849,44644
s3224,9931
s301,44509
s8079,1391
s2695,13821
s1500,11045
s3401,26147
s6917,7090
s2747,4832
s3948,25922
s8856,643
s2143,31483
s5536,44979
s1622,41651
s2407,40385
s3259,24089
s6387,19397
s1233,13440
s4491,23785
s6391,11168
s4545,12442
s3336,16349
s5701,34154
s6711,26738
s1258,30290
s286,34229
s1264,40128
s746,931
s9581,7968
s231,35100
s7258,44644
s540,36025
s4466,4657
s7217,27579
s7532,15692
s3833,17881
s7676,37716
s5040,2330
s744,19908
s761,29718
s2397,15812
s8761,2378
s2688,16802
s7260,25419
s9510,34301
s1023,37860
s3278,22325
s2299,22538
s1466,38667
s5063,13867
s5942,18146
s1338,6858
s8331,10967
s2323,27991
s733,33906
s9532,27539
s2397,16999
s513,45092
s4688,30361
s8222,4593
s4189,7811
s1263,44933
s2659,17005
s2477,12528
s768,38955
s1196,30080
s5049,6192
s449,9648
s2637,16298
s4001,44612
s9002,29738
s7782,18395
s8834,45492
s3294,7131
s1863,10308
s3419,39784
s5449,24001
s3039,12527
s3071,22364
s2312,16992
s1879,14467
s6235,18089
s7816,39774
s4008,44933
s2562,26474
s4545,28210
s7816,38667
s5315,31823
s421,19469
s7602,22888
s536,24965
s3997,23378
s1311,35249
s1583,18395
s2932,15796
s958,10089
s4619,5196
s6746,7830
s2312,25956
s2303,1715
s3040,30364
s783,39400
s2741,123
s2979,7733
s2014,466
s1513,822
s2681,1466
s2548,43059
s4672,43828
s7617,22288
s6448,411
s8715,29312
s8702,41887
s845,8370
s7904,43229
s2978,33821
s2422,20509
s1136,24779
s6452,4191
s7399,1946
s48,31314
s1565,17671
s9247,14927
s5162,3830
s21,31678
s3664,39784
s4859,19675
s330,5427
s243,7830
s6253,35052
s3503,22669
s262,32370
s1508,45313
s8834,41651
s2659,29922
s2613,27036
s1441,4435
s7849,37952
s4314,15812
s2303,28210
s4977,6220
s7140,32957
s886,13767
s700,17027
s2492,7420
s2368,27747
s2849,2715
s3208,41226
s9639,43738
s301,30976
s2323,418
s5781,38667
s2946,29151
s2562,2531
s1212,30112
s3611,33705
s1637,43958
s2729,41226
s745,35249
s1500,1130
s1264,29498
s2875,32961
s3038,21686
s770,11366
s7565,41740
s6398,11119
s745,17208
s841,32255
s1863,37690
s8567,45289
s1569,2049
s2340,8230
s7429,43457
s6894,13075
s2580,44323
s7517,8544
s273,1391
s8553,17986
s7135,37716
s273,40385
s5422,2378
s8186,42891
s992,6184
s7286,4593
s1662,6545
s4638,7849
s7728,17783
s3914,29581
s144,25708
s7571,18385
s4672,4008
s1070,34612
s423,10514
